superregion2,iso3,age,female,urban,edu,year,varnum,v27_type,v27_type_desc,median,upperci_95,lowerci_95
SSA,STP,999.0,999,999,999,2018,27,2,2: Macronutrients,12.043490290157,15.8755447793444,8.87136227841601
LAC,SUR,999.0,999,999,999,2018,27,2,2: Macronutrients,7.03964001707536,8.91994237794492,5.37749773668152
FSU,SVK,999.0,999,999,999,2018,27,2,2: Macronutrients,13.2095707153213,15.9910285313755,10.7360382434093
FSU,SVN,999.0,999,999,999,2018,27,2,2: Macronutrients,13.424802340474,16.3447613900105,10.6739776675551
HIC,SWE,999.0,999,999,999,2018,27,2,2: Macronutrients,14.3392684866246,14.7763970631308,13.9107768219995
SSA,SWZ,999.0,999,999,999,2018,27,2,2: Macronutrients,7.50536567658893,10.4084685894805,5.2718211849559
SSA,SYC,999.0,999,999,999,2018,27,2,2: Macronutrients,9.51054609670996,12.7970471354303,6.90119806658833
MENA,SYR,999.0,999,999,999,2018,27,2,2: Macronutrients,13.9124075499936,17.0684328136287,11.2026836152593
SSA,TCD,999.0,999,999,999,2018,27,2,2: Macronutrients,11.5685210093546,15.325663518174,8.51344557489153
SSA,TGO,999.0,999,999,999,2018,27,2,2: Macronutrients,11.7645034103034,15.4581055706501,8.80395188518245
Asia,THA,999.0,999,999,999,2018,27,2,2: Macronutrients,10.8235821160173,13.1684175218633,8.71374827463889
FSU,TJK,999.0,999,999,999,2018,27,2,2: Macronutrients,8.46363415813999,11.03952141414,6.28299763126727
FSU,TKM,999.0,999,999,999,2018,27,2,2: Macronutrients,12.0119692524448,14.8143452600965,9.59673296033156
Asia,TLS,999.0,999,999,999,2018,27,2,2: Macronutrients,13.6810273874272,16.338720571265,11.2691831361682
Asia,TON,999.0,999,999,999,2018,27,2,2: Macronutrients,14.5413914867206,17.3668060650567,11.9946119661386
LAC,TTO,999.0,999,999,999,2018,27,2,2: Macronutrients,9.22090074080774,11.3121853237291,7.19959871459566
MENA,TUN,999.0,999,999,999,2018,27,2,2: Macronutrients,10.2342907882185,12.4204625414775,8.30808027250335
MENA,TUR,999.0,999,999,999,2018,27,2,2: Macronutrients,11.2630809781322,12.8801600186402,9.750849047944207
Asia,TWN,999.0,999,999,999,2018,27,2,2: Macronutrients,10.8831177667292,11.822952822298,9.980714514397787
SSA,TZA,999.0,999,999,999,2018,27,2,2: Macronutrients,10.6806858612858,14.1000294835865,7.80858547973709
SSA,UGA,999.0,999,999,999,2018,27,2,2: Macronutrients,11.5824019516218,15.3574987555876,8.55090627496289
FSU,UKR,999.0,999,999,999,2018,27,2,2: Macronutrients,11.0907579054958,13.8656147134359,8.73694739699265
LAC,URY,999.0,999,999,999,2018,27,2,2: Macronutrients,11.0084908447019,13.4207050970185,8.75049799520443
HIC,USA,999.0,999,999,999,2018,27,2,2: Macronutrients,11.5933246770971,11.8097078309752,11.3612341661221
FSU,UZB,999.0,999,999,999,2018,27,2,2: Macronutrients,10.5908617906966,13.2353594882241,8.23329447182907
LAC,VCT,999.0,999,999,999,2018,27,2,2: Macronutrients,9.46701480882778,11.6187901185684,7.4871682642608
LAC,VEN,999.0,999,999,999,2018,27,2,2: Macronutrients,4.9233392356465,6.82504635563992,3.33519626406323
Asia,VNM,999.0,999,999,999,2018,27,2,2: Macronutrients,5.70795226653245,6.14986386196941,5.31118224452696
Asia,VUT,999.0,999,999,999,2018,27,2,2: Macronutrients,13.7577355784385,16.3911477911775,11.3180848906092
Asia,WSM,999.0,999,999,999,2018,27,2,2: Macronutrients,28.6813479955183,30.9842542761056,26.4330208863347
MENA,YEM,999.0,999,999,999,2018,27,2,2: Macronutrients,8.46659849088818,10.837023613794,6.40425850148654
SSA,ZAF,999.0,999,999,999,2018,27,2,2: Macronutrients,10.9882562091052,11.9621232076675,10.004557132511
SSA,ZMB,999.0,999,999,999,2018,27,2,2: Macronutrients,11.7942893367221,15.439212597774,8.76515985667425
SSA,ZWE,999.0,999,999,999,2018,27,2,2: Macronutrients,8.58205880209919,11.5861376367291,6.15100135910092
