superregion2,iso3,age,female,urban,edu,year,varnum,v53_type,v53_type_desc,median,upperci_95,lowerci_95
HIC,MLT,999.0,999,999,999,2018,53,3,3: Micronutrients,10.6431047894457,14.1466606409975,7.99586316103814
Asia,MMR,999.0,999,999,999,2018,53,3,3: Micronutrients,17.3924856029615,28.1051883351144,9.85501039150209
FSU,MNE,999.0,999,999,999,2018,53,3,3: Micronutrients,11.1683791138236,16.8643764569818,6.96215509069778
FSU,MNG,999.0,999,999,999,2018,53,3,3: Micronutrients,13.985437494509,22.0426868835032,7.73692253229031
SSA,MOZ,999.0,999,999,999,2018,53,3,3: Micronutrients,8.46085046765464,12.3094490279449,5.89218426089425
SSA,MRT,999.0,999,999,999,2018,53,3,3: Micronutrients,8.81357691182123,13.3240060531363,5.86736190925819
SSA,MUS,999.0,999,999,999,2018,53,3,3: Micronutrients,8.46425567930555,12.8736588751921,5.54318423194049
SSA,MWI,999.0,999,999,999,2018,53,3,3: Micronutrients,11.7156518708315,17.6823305398352,7.55814547580088
Asia,MYS,999.0,999,999,999,2018,53,3,3: Micronutrients,13.0591178285556,23.549156448321,7.00228621250962
SSA,NAM,999.0,999,999,999,2018,53,3,3: Micronutrients,9.1227660588142,13.7896282597665,6.13251254806758
SSA,NER,999.0,999,999,999,2018,53,3,3: Micronutrients,11.5841004678176,18.4969041811315,6.89738623697835
SSA,NGA,999.0,999,999,999,2018,53,3,3: Micronutrients,11.1022175714,16.8286246236773,7.14713835885154
LAC,NIC,999.0,999,999,999,2018,53,3,3: Micronutrients,6.01695157738043,8.84815387384866,4.22294365586839
HIC,NLD,999.0,999,999,999,2018,53,3,3: Micronutrients,11.5869669481143,12.4117336050026,10.8393685955148
HIC,NOR,999.0,999,999,999,2018,53,3,3: Micronutrients,11.5428941753513,15.1636411279173,8.65925823101168
SAARC,NPL,999.0,999,999,999,2018,53,3,3: Micronutrients,2.83709601764024,4.03315080659007,2.02437704329409
HIC,NZL,999.0,999,999,999,2018,53,3,3: Micronutrients,8.67623122572457,11.61860483636,6.45703413797281
MENA,OMN,999.0,999,999,999,2018,53,3,3: Micronutrients,11.3052006090782,15.4127991154473,8.19677785099763
SAARC,PAK,999.0,999,999,999,2018,53,3,3: Micronutrients,9.154781957385428,10.5178313127801,8.01076023535708
LAC,PAN,999.0,999,999,999,2018,53,3,3: Micronutrients,6.31601683847988,8.97163280411761,4.56635274652345
LAC,PER,999.0,999,999,999,2018,53,3,3: Micronutrients,4.93444497230718,7.00971931011054,3.49797782715283
Asia,PHL,999.0,999,999,999,2018,53,3,3: Micronutrients,15.502089146554,26.1725180866861,8.02320463778531
Asia,PNG,999.0,999,999,999,2018,53,3,3: Micronutrients,23.5865029434358,31.4652193058683,12.3863651280526
FSU,POL,999.0,999,999,999,2018,53,3,3: Micronutrients,12.0167352587259,12.6075350292479,11.4804154654405
HIC,PRT,999.0,999,999,999,2018,53,3,3: Micronutrients,9.26916902896392,9.628681505017108,8.90371410730178
LAC,PRY,999.0,999,999,999,2018,53,3,3: Micronutrients,5.15920668769351,7.39333184310328,3.71904704453499
MENA,PSE,999.0,999,999,999,2018,53,3,3: Micronutrients,11.5102425638763,16.2091816785419,7.76008592044535
MENA,QAT,999.0,999,999,999,2018,53,3,3: Micronutrients,11.4342139315873,15.8863876009425,8.21351703019349
FSU,ROU,999.0,999,999,999,2018,53,3,3: Micronutrients,17.4749752089641,18.9691045816683,16.0785488830789
FSU,RUS,999.0,999,999,999,2018,53,3,3: Micronutrients,10.2256363395065,15.7381281846891,6.28529609701201
SSA,RWA,999.0,999,999,999,2018,53,3,3: Micronutrients,10.9091782612744,16.9368498926434,7.0740396184558
MENA,SAU,999.0,999,999,999,2018,53,3,3: Micronutrients,11.1144319331971,15.1064323354192,8.0934307626462
SSA,SDN,999.0,999,999,999,2018,53,3,3: Micronutrients,10.9081951833163,16.2370632287786,7.33540336065302
SSA,SEN,999.0,999,999,999,2018,53,3,3: Micronutrients,10.1356055321438,15.3726291320169,6.82922528396409
Asia,SGP,999.0,999,999,999,2018,53,3,3: Micronutrients,17.6440719435375,28.8605027853525,10.0251216335326
Asia,SLB,999.0,999,999,999,2018,53,3,3: Micronutrients,22.9127122905226,30.2811350070939,13.3137664059288
SSA,SLE,999.0,999,999,999,2018,53,3,3: Micronutrients,10.8990666670489,16.3143097770628,7.15564653522945
LAC,SLV,999.0,999,999,999,2018,53,3,3: Micronutrients,5.97550806633209,8.58367205989035,4.25306490240361
