superregion2,iso3,age,female,urban,edu,year,v50_type,v50_type_desc,median,country name
LAC,GRD,999.0,999,999,999,2018,3,3: Micronutrients,3.05621247976943,Grenada
LAC,GTM,999.0,999,999,999,2018,3,3: Micronutrients,1.96610683469542,Guatemala
LAC,GUY,999.0,999,999,999,2018,3,3: Micronutrients,2.94073208468598,Guyana
LAC,HND,999.0,999,999,999,2018,3,3: Micronutrients,3.15917140486136,Honduras
FSU,HRV,999.0,999,999,999,2018,3,3: Micronutrients,3.87153579542757,Croatia
LAC,HTI,999.0,999,999,999,2018,3,3: Micronutrients,3.00135097589316,Haiti
FSU,HUN,999.0,999,999,999,2018,3,3: Micronutrients,3.82766314990961,Hungary
Asia,IDN,999.0,999,999,999,2018,3,3: Micronutrients,3.03470512783969,Indonesia
SAARC,IND,999.0,999,999,999,2018,3,3: Micronutrients,0.907105782330334,India
HIC,IRL,999.0,999,999,999,2018,3,3: Micronutrients,4.54345467392121,Ireland
MENA,IRN,999.0,999,999,999,2018,3,3: Micronutrients,2.71155725569876,Iran
MENA,IRQ,999.0,999,999,999,2018,3,3: Micronutrients,3.34139504328834,Iraq
HIC,ISL,999.0,999,999,999,2018,3,3: Micronutrients,4.60893575660713,Iceland
MENA,ISR,999.0,999,999,999,2018,3,3: Micronutrients,3.25813057041977,Israel
HIC,ITA,999.0,999,999,999,2018,3,3: Micronutrients,4.47845126611761,Italy
LAC,JAM,999.0,999,999,999,2018,3,3: Micronutrients,3.26075169376563,Jamaica
MENA,JOR,999.0,999,999,999,2018,3,3: Micronutrients,3.28164164182996,Jordan
Asia,JPN,999.0,999,999,999,2018,3,3: Micronutrients,7.2653761753307,Japan
FSU,KAZ,999.0,999,999,999,2018,3,3: Micronutrients,3.8192872512888,Kazakhstan
SSA,KEN,999.0,999,999,999,2018,3,3: Micronutrients,0.62897059634855,Kenya
FSU,KGZ,999.0,999,999,999,2018,3,3: Micronutrients,3.54946398269627,Kyrgyzstan
Asia,KHM,999.0,999,999,999,2018,3,3: Micronutrients,2.91445403124031,Cambodia
Asia,KIR,999.0,999,999,999,2018,3,3: Micronutrients,3.28974661749311,Kiribati
Asia,KOR,999.0,999,999,999,2018,3,3: Micronutrients,3.53217084358715,South Korea
MENA,KWT,999.0,999,999,999,2018,3,3: Micronutrients,4.31497607286467,Kuwait
Asia,LAO,999.0,999,999,999,2018,3,3: Micronutrients,3.07636815149116,Laos
MENA,LBN,999.0,999,999,999,2018,3,3: Micronutrients,4.7578595491483,Lebanon
SSA,LBR,999.0,999,999,999,2018,3,3: Micronutrients,2.27876487976041,Liberia
MENA,LBY,999.0,999,999,999,2018,3,3: Micronutrients,3.76844443492181,Libya
LAC,LCA,999.0,999,999,999,2018,3,3: Micronutrients,3.02410784069137,Saint Lucia
SAARC,LKA,999.0,999,999,999,2018,3,3: Micronutrients,1.88640401228711,Sri Lanka
SSA,LSO,999.0,999,999,999,2018,3,3: Micronutrients,2.2218791946125,Lesotho
FSU,LTU,999.0,999,999,999,2018,3,3: Micronutrients,3.94759655970136,Lithuania
HIC,LUX,999.0,999,999,999,2018,3,3: Micronutrients,4.59305436763844,Luxembourg
FSU,LVA,999.0,999,999,999,2018,3,3: Micronutrients,3.94138815989702,Latvia
MENA,MAR,999.0,999,999,999,2018,3,3: Micronutrients,5.47070340993281,Morocco
FSU,MDA,999.0,999,999,999,2018,3,3: Micronutrients,3.75701656138716,Moldova
SSA,MDG,999.0,999,999,999,2018,3,3: Micronutrients,2.16821445633771,Madagascar
SAARC,MDV,999.0,999,999,999,2018,3,3: Micronutrients,2.14849141192694,Maldives
LAC,MEX,999.0,999,999,999,2018,3,3: Micronutrients,2.79800855709618,Mexico
Asia,MHL,999.0,999,999,999,2018,3,3: Micronutrients,3.36541143450569,Marshall Islands
FSU,MKD,999.0,999,999,999,2018,3,3: Micronutrients,3.80818886579848,Macedonia
SSA,MLI,999.0,999,999,999,2018,3,3: Micronutrients,2.2142193538086,Mali
HIC,MLT,999.0,999,999,999,2018,3,3: Micronutrients,4.51556806369533,Malta
Asia,MMR,999.0,999,999,999,2018,3,3: Micronutrients,3.15506304353473,Myanmar
FSU,MNE,999.0,999,999,999,2018,3,3: Micronutrients,3.98148753792105,Montenegro
FSU,MNG,999.0,999,999,999,2018,3,3: Micronutrients,4.00710802863596,Mongolia
SSA,MOZ,999.0,999,999,999,2018,3,3: Micronutrients,1.7930073663789,Mozambique
SSA,MRT,999.0,999,999,999,2018,3,3: Micronutrients,2.38069732604168,Mauritania
SSA,MUS,999.0,999,999,999,2018,3,3: Micronutrients,2.4808107185825,Mauritius
SSA,MWI,999.0,999,999,999,2018,3,3: Micronutrients,2.0384930963799,Malawi
Asia,MYS,999.0,999,999,999,2018,3,3: Micronutrients,1.9078518744081,Malaysia
SSA,NAM,999.0,999,999,999,2018,3,3: Micronutrients,2.37283732737383,Namibia
SSA,NER,999.0,999,999,999,2018,3,3: Micronutrients,2.00057684336516,Niger
SSA,NGA,999.0,999,999,999,2018,3,3: Micronutrients,2.14084673178925,Nigeria
LAC,NIC,999.0,999,999,999,2018,3,3: Micronutrients,3.09644412376608,Nicaragua
