Region,iso3,age,female,urban,edu,year,varnum,v43_type,v43_type_desc,Median,country name
SSA,GNQ,999.0,999,999,999,2018,43,3,3: Micronutrients,1981.30285185531,Equatorial Guinea
HIC,GRC,999.0,999,999,999,2018,43,3,3: Micronutrients,1005.79048411245,Greece
LAC,GRD,999.0,999,999,999,2018,43,3,3: Micronutrients,898.28447974966,Grenada
LAC,GTM,999.0,999,999,999,2018,43,3,3: Micronutrients,1349.2571257051,Guatemala
LAC,GUY,999.0,999,999,999,2018,43,3,3: Micronutrients,1651.63909282628,Guyana
LAC,HND,999.0,999,999,999,2018,43,3,3: Micronutrients,1355.5497661447,Honduras
FSU,HRV,999.0,999,999,999,2018,43,3,3: Micronutrients,1919.05969489166,Croatia
LAC,HTI,999.0,999,999,999,2018,43,3,3: Micronutrients,1584.8153197041,Haiti
FSU,HUN,999.0,999,999,999,2018,43,3,3: Micronutrients,1214.42793133883,Hungary
Asia,IDN,999.0,999,999,999,2018,43,3,3: Micronutrients,508.467842243314,Indonesia
SAARC,IND,999.0,999,999,999,2018,43,3,3: Micronutrients,375.06494549279,India
HIC,IRL,999.0,999,999,999,2018,43,3,3: Micronutrients,658.035332343251,Ireland
MENA,IRN,999.0,999,999,999,2018,43,3,3: Micronutrients,665.357646081364,Iran
MENA,IRQ,999.0,999,999,999,2018,43,3,3: Micronutrients,369.660101762537,Iraq
HIC,ISL,999.0,999,999,999,2018,43,3,3: Micronutrients,1615.94986756134,Iceland
MENA,ISR,999.0,999,999,999,2018,43,3,3: Micronutrients,978.874211170036,Israel
HIC,ITA,999.0,999,999,999,2018,43,3,3: Micronutrients,620.321196100788,Italy
LAC,JAM,999.0,999,999,999,2018,43,3,3: Micronutrients,1040.72155514906,Jamaica
MENA,JOR,999.0,999,999,999,2018,43,3,3: Micronutrients,575.429159047082,Jordan
Asia,JPN,999.0,999,999,999,2018,43,3,3: Micronutrients,497.194235260532,Japan
FSU,KAZ,999.0,999,999,999,2018,43,3,3: Micronutrients,1027.98715473803,Kazakhstan
SSA,KEN,999.0,999,999,999,2018,43,3,3: Micronutrients,753.842883163646,Kenya
FSU,KGZ,999.0,999,999,999,2018,43,3,3: Micronutrients,1058.00220544247,Kyrgyzstan
Asia,KHM,999.0,999,999,999,2018,43,3,3: Micronutrients,1663.8712210502,Cambodia
Asia,KIR,999.0,999,999,999,2018,43,3,3: Micronutrients,1803.20359041494,Kiribati
Asia,KOR,999.0,999,999,999,2018,43,3,3: Micronutrients,500.400116654066,South Korea
MENA,KWT,999.0,999,999,999,2018,43,3,3: Micronutrients,1032.03523879996,Kuwait
Asia,LAO,999.0,999,999,999,2018,43,3,3: Micronutrients,469.720993360787,Laos
MENA,LBN,999.0,999,999,999,2018,43,3,3: Micronutrients,548.239671228126,Lebanon
SSA,LBR,999.0,999,999,999,2018,43,3,3: Micronutrients,1460.18916644603,Liberia
MENA,LBY,999.0,999,999,999,2018,43,3,3: Micronutrients,1122.95325022674,Libya
LAC,LCA,999.0,999,999,999,2018,43,3,3: Micronutrients,508.689683998487,Saint Lucia
SAARC,LKA,999.0,999,999,999,2018,43,3,3: Micronutrients,1204.03697089996,Sri Lanka
SSA,LSO,999.0,999,999,999,2018,43,3,3: Micronutrients,393.974229868048,Lesotho
FSU,LTU,999.0,999,999,999,2018,43,3,3: Micronutrients,1568.92649523247,Lithuania
HIC,LUX,999.0,999,999,999,2018,43,3,3: Micronutrients,900.392258194617,Luxembourg
FSU,LVA,999.0,999,999,999,2018,43,3,3: Micronutrients,1345.31412316983,Latvia
MENA,MAR,999.0,999,999,999,2018,43,3,3: Micronutrients,1004.92531846625,Morocco
FSU,MDA,999.0,999,999,999,2018,43,3,3: Micronutrients,594.675839464998,Moldova
SSA,MDG,999.0,999,999,999,2018,43,3,3: Micronutrients,1250.49629475618,Madagascar
SAARC,MDV,999.0,999,999,999,2018,43,3,3: Micronutrients,875.570970610204,Maldives
LAC,MEX,999.0,999,999,999,2018,43,3,3: Micronutrients,801.182194854065,Mexico
Asia,MHL,999.0,999,999,999,2018,43,3,3: Micronutrients,1086.05554681545,Marshall Islands
FSU,MKD,999.0,999,999,999,2018,43,3,3: Micronutrients,1562.33375556323,Macedonia
SSA,MLI,999.0,999,999,999,2018,43,3,3: Micronutrients,1041.65031788387,Mali
HIC,MLT,999.0,999,999,999,2018,43,3,3: Micronutrients,537.142598979993,Malta
Asia,MMR,999.0,999,999,999,2018,43,3,3: Micronutrients,617.995574270587,Myanmar
FSU,MNE,999.0,999,999,999,2018,43,3,3: Micronutrients,1696.15622076772,Montenegro
FSU,MNG,999.0,999,999,999,2018,43,3,3: Micronutrients,1157.91277398236,Mongolia
SSA,MOZ,999.0,999,999,999,2018,43,3,3: Micronutrients,2954.56549821004,Mozambique
SSA,MRT,999.0,999,999,999,2018,43,3,3: Micronutrients,1253.2985747852,Mauritania
SSA,MUS,999.0,999,999,999,2018,43,3,3: Micronutrients,1057.01434940798,Mauritius
SSA,MWI,999.0,999,999,999,2018,43,3,3: Micronutrients,846.897147159435,Malawi
Asia,MYS,999.0,999,999,999,2018,43,3,3: Micronutrients,609.377132566892,Malaysia
SSA,NAM,999.0,999,999,999,2018,43,3,3: Micronutrients,712.317897228028,Namibia
SSA,NER,999.0,999,999,999,2018,43,3,3: Micronutrients,286.842912317833,Niger
SSA,NGA,999.0,999,999,999,2018,43,3,3: Micronutrients,2623.86002952185,Nigeria
LAC,NIC,999.0,999,999,999,2018,43,3,3: Micronutrients,1023.57985801267,Nicaragua
HIC,NLD,999.0,999,999,999,2018,43,3,3: Micronutrients,660.295838531607,Netherlands
HIC,NOR,999.0,999,999,999,2018,43,3,3: Micronutrients,859.137858978827,Norway
SAARC,NPL,999.0,999,999,999,2018,43,3,3: Micronutrients,406.778915650047,Nepal
HIC,NZL,999.0,999,999,999,2018,43,3,3: Micronutrients,1179.41934958028,New Zealand
MENA,OMN,999.0,999,999,999,2018,43,3,3: Micronutrients,964.157868372361,Oman
SAARC,PAK,999.0,999,999,999,2018,43,3,3: Micronutrients,294.164942631555,Pakistan
LAC,PAN,999.0,999,999,999,2018,43,3,3: Micronutrients,769.045989898538,Panama
LAC,PER,999.0,999,999,999,2018,43,3,3: Micronutrients,1609.45969829904,Peru
Asia,PHL,999.0,999,999,999,2018,43,3,3: Micronutrients,458.147835560627,Philippines
Asia,PNG,999.0,999,999,999,2018,43,3,3: Micronutrients,72.7429923321594,Papua New Guinea
FSU,POL,999.0,999,999,999,2018,43,3,3: Micronutrients,1344.34808365317,Poland
HIC,PRT,999.0,999,999,999,2018,43,3,3: Micronutrients,1036.62757926511,Portugal
LAC,PRY,999.0,999,999,999,2018,43,3,3: Micronutrients,1079.49368443515,Paraguay
MENA,QAT,999.0,999,999,999,2018,43,3,3: Micronutrients,1145.30974654618,Qatar
FSU,ROU,999.0,999,999,999,2018,43,3,3: Micronutrients,1398.06332336075,Romania
FSU,RUS,999.0,999,999,999,2018,43,3,3: Micronutrients,1269.52914727655,Russia
SSA,RWA,999.0,999,999,999,2018,43,3,3: Micronutrients,1803.11175639432,Rwanda
MENA,SAU,999.0,999,999,999,2018,43,3,3: Micronutrients,597.839116708993,Saudi Arabia
SSA,SDN,999.0,999,999,999,2018,43,3,3: Micronutrients,1852.55986800359,Sudan
SSA,SEN,999.0,999,999,999,2018,43,3,3: Micronutrients,1809.23808276897,Senegal
Asia,SGP,999.0,999,999,999,2018,43,3,3: Micronutrients,754.528796741205,Singapore
Asia,SLB,999.0,999,999,999,2018,43,3,3: Micronutrients,1136.00215777991,Solomon Islands
SSA,SLE,999.0,999,999,999,2018,43,3,3: Micronutrients,2680.25854963221,Sierra Leone
LAC,SLV,999.0,999,999,999,2018,43,3,3: Micronutrients,955.610122243038,El Salvador
FSU,SRB,999.0,999,999,999,2018,43,3,3: Micronutrients,647.376440053154,Serbia
SSA,SSD,999.0,999,999,999,2018,43,3,3: Micronutrients,1905.74996615338,South Sudan
SSA,STP,999.0,999,999,999,2018,43,3,3: Micronutrients,2618.40033626376,Sao Tome and Principe
LAC,SUR,999.0,999,999,999,2018,43,3,3: Micronutrients,986.405195432169,Suriname
