superregion2,iso3,age,female,urban,edu,year,varnum,v05_type,v05_type_desc,Median,serving,country name
SSA,SDN,999.0,999,999,999,2018,5,1,1: Foods & Beverages,22.9237643959787,0.24649209,Sudan
SSA,SEN,999.0,999,999,999,2018,5,1,1: Foods & Beverages,18.2427324648017,0.19756046,Senegal
Asia,SGP,999.0,999,999,999,2018,5,1,1: Foods & Beverages,15.5512356769627,0.15860516,Singapore
Asia,SLB,999.0,999,999,999,2018,5,1,1: Foods & Beverages,29.2456058638429,0.31558871,Solomon Islands
SSA,SLE,999.0,999,999,999,2018,5,1,1: Foods & Beverages,22.0202164810465,0.23690389,Sierra Leone
LAC,SLV,999.0,999,999,999,2018,5,1,1: Foods & Beverages,35.7216329953308,0.37314981,El Salvador
FSU,SRB,999.0,999,999,999,2018,5,1,1: Foods & Beverages,32.1989297781986,0.32950193,Serbia
SSA,SSD,999.0,999,999,999,2018,5,1,1: Foods & Beverages,29.2771898388942,0.31606597,South Sudan
SSA,STP,999.0,999,999,999,2018,5,1,1: Foods & Beverages,8.55917570712734,0.092103474,Sao Tome and Principe
LAC,SUR,999.0,999,999,999,2018,5,1,1: Foods & Beverages,71.7421980276786,0.75004911,Suriname
FSU,SVK,999.0,999,999,999,2018,5,1,1: Foods & Beverages,4.60935875870658,0.047256086,Slovakia
FSU,SVN,999.0,999,999,999,2018,5,1,1: Foods & Beverages,19.0546699671606,0.19519228,Slovenia
HIC,SWE,999.0,999,999,999,2018,5,1,1: Foods & Beverages,15.2868050390947,0.15730402,Sweden
SSA,SWZ,999.0,999,999,999,2018,5,1,1: Foods & Beverages,10.9763005433005,0.11671948,Eswatini
SSA,SYC,999.0,999,999,999,2018,5,1,1: Foods & Beverages,19.6024431135841,0.20404333,Seychelles
MENA,SYR,999.0,999,999,999,2018,5,1,1: Foods & Beverages,37.921998157324,0.39934707,Syria
SSA,TCD,999.0,999,999,999,2018,5,1,1: Foods & Beverages,7.44604959492446,0.081502296,Chad
SSA,TGO,999.0,999,999,999,2018,5,1,1: Foods & Beverages,13.6710188156974,0.14725354,Togo
