Serbia;Eastern European;FSU;Europe
Seychelles;Rest Africa;SSA;Africa
Sierra Leone;Rest Africa;SSA;Africa
Singapore;Southeast Asian;Asia;Asia
Slovakia;Eastern European;FSU;Europe
Slovenia;Eastern European;FSU;Europe
Solomon Islands;Pacific Islands;Asia;Australia
Somalia;Rest Africa;SSA;Africa
South Africa;Rest Africa;SSA;Africa
South Sudan;Rest Africa;SSA;Africa
Spain;Western European;HIC;Europe
Sri Lanka;Indian Subcontinent;SAARC;Asia
Sudan;Northern Africa;MENA;Africa
Suriname;South American;LAC;South America
Sweden;Scandinavian;HIC;Europe
Switzerland;Western European;HIC;Europe
Syria;Middle Eastern;MENA;Asia
Tajikistan;Eastern European;FSU;Asia
Thailand;Thai;Asia;Asia
Timor-Leste;Southeast Asian;Asia;Asia
Togo;Rest Africa;SSA;Africa
Tokelau;Pacific Islands;Asia;Australia
Tonga;Pacific Islands;Asia;Australia
Trinidad and Tobago;Caribbean;LAC;North America
Tunisia;Northern Africa;MENA;Africa
Turkmenistan;Eastern European;FSU;Asia
Tuvalu;Pacific Islands;Asia;Australia
Turkey;Middle Eastern;MENA;Asia
Uganda;Rest Africa;SSA;Africa
Ukraine;Eastern European;FSU;Europe
United Arab Emirates;Middle Eastern;MENA;Asia
United Kingdom;UK;HIC;Europe
Tanzania;Rest Africa;SSA;Africa
United States;US;HIC;North America
Uruguay;South American;LAC;South America
Uzbekistan;Eastern European;FSU;Asia
Vanuatu;Pacific Islands;Asia;Australia
Venezuela;South American;LAC;South America
Vietnam;Southeast Asian;Asia;Asia
Yemen;Middle Eastern;MENA;Asia
Zambia;Rest Africa;SSA;Africa
Zimbabwe;Rest Africa;SSA;Africa
