superregion2,iso3,age,female,urban,edu,year,varnum,v52_type,v52_type_desc,median,upperci_95,lowerci_95
SSA,SWZ,999.0,999,999,999,2018,52,3,3: Micronutrients,0.332552540081369,1.00465615318474,0.111636968731001
SSA,SYC,999.0,999,999,999,2018,52,3,3: Micronutrients,0.317634212781742,0.920037647558403,0.107660042714655
MENA,SYR,999.0,999,999,999,2018,52,3,3: Micronutrients,0.139705113247663,0.443652629249628,0.0446398107217943
SSA,TCD,999.0,999,999,999,2018,52,3,3: Micronutrients,2.1335387597185,4.58604960977019,1.09072727838221
SSA,TGO,999.0,999,999,999,2018,52,3,3: Micronutrients,2.06474197701116,4.31697363425624,1.08994977642773
Asia,THA,999.0,999,999,999,2018,52,3,3: Micronutrients,4.27160683809014,5.87409067370789,3.17691812474101
FSU,TJK,999.0,999,999,999,2018,52,3,3: Micronutrients,2.39017878251651,4.09422611821486,1.43783191270239
FSU,TKM,999.0,999,999,999,2018,52,3,3: Micronutrients,3.40681350732049,5.70848142746499,2.16806272130555
Asia,TLS,999.0,999,999,999,2018,52,3,3: Micronutrients,2.19942176480017,3.83234287113382,1.31235493586892
Asia,TON,999.0,999,999,999,2018,52,3,3: Micronutrients,0.365198768741057,1.05202605975892,0.125583094013856
LAC,TTO,999.0,999,999,999,2018,52,3,3: Micronutrients,3.02113514345431,4.93402241073975,1.91327715598643
MENA,TUN,999.0,999,999,999,2018,52,3,3: Micronutrients,0.647653101967103,0.964564578143662,0.445864805893258
MENA,TUR,999.0,999,999,999,2018,52,3,3: Micronutrients,1.57362528359347,2.35589943996984,1.07046740258002
Asia,TWN,999.0,999,999,999,2018,52,3,3: Micronutrients,5.19456226287389,9.022407495373653,3.15446275083432
SSA,TZA,999.0,999,999,999,2018,52,3,3: Micronutrients,2.96784196216558,6.23813145577921,1.56885658002681
SSA,UGA,999.0,999,999,999,2018,52,3,3: Micronutrients,3.11100327365661,6.6192959844157,1.62229659215884
FSU,UKR,999.0,999,999,999,2018,52,3,3: Micronutrients,3.80351588504032,6.36882107420397,2.41778069317564
LAC,URY,999.0,999,999,999,2018,52,3,3: Micronutrients,4.0603461561484,6.65502079424762,2.51296279274847
HIC,USA,999.0,999,999,999,2018,52,3,3: Micronutrients,5.16271664571928,5.39614075239634,4.93019787987672
FSU,UZB,999.0,999,999,999,2018,52,3,3: Micronutrients,3.40613074389106,5.7322032551079,2.16083180509657
LAC,VCT,999.0,999,999,999,2018,52,3,3: Micronutrients,2.89314524872377,4.64529846591648,1.81627833902132
LAC,VEN,999.0,999,999,999,2018,52,3,3: Micronutrients,3.15904240592273,5.19121751495203,1.98494564869359
Asia,VNM,999.0,999,999,999,2018,52,3,3: Micronutrients,2.31533215354,3.06510917268384,1.7895745552907
Asia,VUT,999.0,999,999,999,2018,52,3,3: Micronutrients,3.4525613729121,5.70680581477109,2.1992276420078
Asia,WSM,999.0,999,999,999,2018,52,3,3: Micronutrients,4.50433027032768,7.37519612465904,2.89224798578154
MENA,YEM,999.0,999,999,999,2018,52,3,3: Micronutrients,1.22158646709142,2.30096965807323,0.674354757384057
SSA,ZAF,999.0,999,999,999,2018,52,3,3: Micronutrients,2.94325853219961,5.84570501086261,1.63970055535443
SSA,ZMB,999.0,999,999,999,2018,52,3,3: Micronutrients,1.80533766475529,3.88099429054029,0.929954592001406
SSA,ZWE,999.0,999,999,999,2018,52,3,3: Micronutrients,2.51928901234622,5.24352790140658,1.31871675674635
