Region,iso3,age,female,urban,edu,year,varnum,v37_type,v37_type_desc,Median,country name
SSA,GNB,999.0,999,999,999,2018,37,3,3: Micronutrients,1981.50254631067,Guinea-Bissau
SSA,GNQ,999.0,999,999,999,2018,37,3,3: Micronutrients,1998.30631559451,Equatorial Guinea
HIC,GRC,999.0,999,999,999,2018,37,3,3: Micronutrients,1674.61746398293,Greece
LAC,GRD,999.0,999,999,999,2018,37,3,3: Micronutrients,2184.67708870139,Grenada
LAC,GTM,999.0,999,999,999,2018,37,3,3: Micronutrients,2615.67440547402,Guatemala
LAC,GUY,999.0,999,999,999,2018,37,3,3: Micronutrients,2230.751210826,Guyana
LAC,HND,999.0,999,999,999,2018,37,3,3: Micronutrients,2341.92118364711,Honduras
FSU,HRV,999.0,999,999,999,2018,37,3,3: Micronutrients,3026.21076019627,Croatia
LAC,HTI,999.0,999,999,999,2018,37,3,3: Micronutrients,2009.52793439789,Haiti
FSU,HUN,999.0,999,999,999,2018,37,3,3: Micronutrients,3668.59333343651,Hungary
Asia,IDN,999.0,999,999,999,2018,37,3,3: Micronutrients,946.843135024077,Indonesia
SAARC,IND,999.0,999,999,999,2018,37,3,3: Micronutrients,2822.06050723347,India
HIC,IRL,999.0,999,999,999,2018,37,3,3: Micronutrients,2412.64808409926,Ireland
MENA,IRN,999.0,999,999,999,2018,37,3,3: Micronutrients,2695.01523970162,Iran
MENA,IRQ,999.0,999,999,999,2018,37,3,3: Micronutrients,2721.61257625817,Iraq
HIC,ISL,999.0,999,999,999,2018,37,3,3: Micronutrients,2500.12048851558,Iceland
MENA,ISR,999.0,999,999,999,2018,37,3,3: Micronutrients,3086.38421333278,Israel
HIC,ITA,999.0,999,999,999,2018,37,3,3: Micronutrients,2449.45597541403,Italy
LAC,JAM,999.0,999,999,999,2018,37,3,3: Micronutrients,2340.47310371964,Jamaica
MENA,JOR,999.0,999,999,999,2018,37,3,3: Micronutrients,4249.25415960188,Jordan
Asia,JPN,999.0,999,999,999,2018,37,3,3: Micronutrients,3672.51476670532,Japan
FSU,KAZ,999.0,999,999,999,2018,37,3,3: Micronutrients,2894.52153539023,Kazakhstan
SSA,KEN,999.0,999,999,999,2018,37,3,3: Micronutrients,891.592170251168,Kenya
FSU,KGZ,999.0,999,999,999,2018,37,3,3: Micronutrients,2739.02297172778,Kyrgyzstan
Asia,KHM,999.0,999,999,999,2018,37,3,3: Micronutrients,2764.91778557712,Cambodia
Asia,KIR,999.0,999,999,999,2018,37,3,3: Micronutrients,2687.13651774675,Kiribati
Asia,KOR,999.0,999,999,999,2018,37,3,3: Micronutrients,4238.94715438622,South Korea
MENA,KWT,999.0,999,999,999,2018,37,3,3: Micronutrients,3018.85678889005,Kuwait
Asia,LAO,999.0,999,999,999,2018,37,3,3: Micronutrients,5656.61460863968,Laos
MENA,LBN,999.0,999,999,999,2018,37,3,3: Micronutrients,3529.59793817984,Lebanon
SSA,LBR,999.0,999,999,999,2018,37,3,3: Micronutrients,2134.92165701002,Liberia
MENA,LBY,999.0,999,999,999,2018,37,3,3: Micronutrients,3142.22516908259,Libya
LAC,LCA,999.0,999,999,999,2018,37,3,3: Micronutrients,2324.33009242463,Saint Lucia
SAARC,LKA,999.0,999,999,999,2018,37,3,3: Micronutrients,2565.24719635942,Sri Lanka
SSA,LSO,999.0,999,999,999,2018,37,3,3: Micronutrients,2186.27717681986,Lesotho
FSU,LTU,999.0,999,999,999,2018,37,3,3: Micronutrients,2919.96764116663,Lithuania
HIC,LUX,999.0,999,999,999,2018,37,3,3: Micronutrients,2851.74852188751,Luxembourg
FSU,LVA,999.0,999,999,999,2018,37,3,3: Micronutrients,3067.01139466822,Latvia
MENA,MAR,999.0,999,999,999,2018,37,3,3: Micronutrients,2501.73266987246,Morocco
FSU,MDA,999.0,999,999,999,2018,37,3,3: Micronutrients,2740.94399277473,Moldova
SSA,MDG,999.0,999,999,999,2018,37,3,3: Micronutrients,1791.18859317517,Madagascar
SAARC,MDV,999.0,999,999,999,2018,37,3,3: Micronutrients,3220.87272779427,Maldives
LAC,MEX,999.0,999,999,999,2018,37,3,3: Micronutrients,2434.24749631206,Mexico
Asia,MHL,999.0,999,999,999,2018,37,3,3: Micronutrients,2733.88884542618,Marshall Islands
FSU,MKD,999.0,999,999,999,2018,37,3,3: Micronutrients,2840.07449811027,Macedonia
SSA,MLI,999.0,999,999,999,2018,37,3,3: Micronutrients,1928.02998025301,Mali
HIC,MLT,999.0,999,999,999,2018,37,3,3: Micronutrients,2580.37876754266,Malta
Asia,MMR,999.0,999,999,999,2018,37,3,3: Micronutrients,2848.70684410543,Myanmar
FSU,MNE,999.0,999,999,999,2018,37,3,3: Micronutrients,3160.16560294788,Montenegro
FSU,MNG,999.0,999,999,999,2018,37,3,3: Micronutrients,3830.68921863267,Mongolia
SSA,MOZ,999.0,999,999,999,2018,37,3,3: Micronutrients,1512.98310619591,Mozambique
SSA,MRT,999.0,999,999,999,2018,37,3,3: Micronutrients,1895.50540394737,Mauritania
SSA,MUS,999.0,999,999,999,2018,37,3,3: Micronutrients,1930.3973587216,Mauritius
SSA,MWI,999.0,999,999,999,2018,37,3,3: Micronutrients,1164.73115852793,Malawi
Asia,MYS,999.0,999,999,999,2018,37,3,3: Micronutrients,2898.91114042951,Malaysia
SSA,NAM,999.0,999,999,999,2018,37,3,3: Micronutrients,1949.56766187492,Namibia
SSA,NER,999.0,999,999,999,2018,37,3,3: Micronutrients,1892.57872707543,Niger
SSA,NGA,999.0,999,999,999,2018,37,3,3: Micronutrients,1997.91467588677,Nigeria
LAC,NIC,999.0,999,999,999,2018,37,3,3: Micronutrients,2396.95709763666,Nicaragua
HIC,NLD,999.0,999,999,999,2018,37,3,3: Micronutrients,1994.64859729659,Netherlands
HIC,NOR,999.0,999,999,999,2018,37,3,3: Micronutrients,2655.24086755016,Norway
SAARC,NPL,999.0,999,999,999,2018,37,3,3: Micronutrients,3066.04392487746,Nepal
HIC,NZL,999.0,999,999,999,2018,37,3,3: Micronutrients,2164.77506019838,New Zealand
MENA,OMN,999.0,999,999,999,2018,37,3,3: Micronutrients,3371.37000408763,Oman
SAARC,PAK,999.0,999,999,999,2018,37,3,3: Micronutrients,3022.21891345848,Pakistan
LAC,PAN,999.0,999,999,999,2018,37,3,3: Micronutrients,2376.79636998513,Panama
LAC,PER,999.0,999,999,999,2018,37,3,3: Micronutrients,2343.15953132975,Peru
Asia,PHL,999.0,999,999,999,2018,37,3,3: Micronutrients,2418.5681159883,Philippines
Asia,PNG,999.0,999,999,999,2018,37,3,3: Micronutrients,2666.52213376018,Papua New Guinea
FSU,POL,999.0,999,999,999,2018,37,3,3: Micronutrients,3126.72181071525,Poland
HIC,PRT,999.0,999,999,999,2018,37,3,3: Micronutrients,3100.47641887843,Portugal
LAC,PRY,999.0,999,999,999,2018,37,3,3: Micronutrients,2373.07282778515,Paraguay
MENA,QAT,999.0,999,999,999,2018,37,3,3: Micronutrients,3559.97121630823,Qatar
FSU,ROU,999.0,999,999,999,2018,37,3,3: Micronutrients,3754.17545250715,Romania
FSU,RUS,999.0,999,999,999,2018,37,3,3: Micronutrients,2566.62284269374,Russia
SSA,RWA,999.0,999,999,999,2018,37,3,3: Micronutrients,1834.75416651496,Rwanda
MENA,SAU,999.0,999,999,999,2018,37,3,3: Micronutrients,3109.82288526055,Saudi Arabia
SSA,SDN,999.0,999,999,999,2018,37,3,3: Micronutrients,2043.39866338442,Sudan
SSA,SEN,999.0,999,999,999,2018,37,3,3: Micronutrients,1781.17155410988,Senegal
Asia,SGP,999.0,999,999,999,2018,37,3,3: Micronutrients,3044.98245957011,Singapore
Asia,SLB,999.0,999,999,999,2018,37,3,3: Micronutrients,2619.81770616624,Solomon Islands
SSA,SLE,999.0,999,999,999,2018,37,3,3: Micronutrients,2146.58513760178,Sierra Leone
LAC,SLV,999.0,999,999,999,2018,37,3,3: Micronutrients,2357.4744063526,El Salvador
FSU,SRB,999.0,999,999,999,2018,37,3,3: Micronutrients,2138.94699811154,Serbia
