Region,iso3,age,female,urban,edu,year,varnum,v34_type,v34_type_desc,Median,country name
SSA,GNQ,999.0,999,999,999,2018,34,2,2: Macronutrients,29.0700682129944,Equatorial Guinea
HIC,GRC,999.0,999,999,999,2018,34,2,2: Macronutrients,30.9731561248614,Greece
LAC,GRD,999.0,999,999,999,2018,34,2,2: Macronutrients,20.6303736931568,Grenada
LAC,GTM,999.0,999,999,999,2018,34,2,2: Macronutrients,24.5729727088748,Guatemala
LAC,GUY,999.0,999,999,999,2018,34,2,2: Macronutrients,8.91913035272239,Guyana
LAC,HND,999.0,999,999,999,2018,34,2,2: Macronutrients,18.0204429465764,Honduras
FSU,HRV,999.0,999,999,999,2018,34,2,2: Macronutrients,36.3771508635306,Croatia
LAC,HTI,999.0,999,999,999,2018,34,2,2: Macronutrients,8.41146032443391,Haiti
FSU,HUN,999.0,999,999,999,2018,34,2,2: Macronutrients,9.86790200833617,Hungary
Asia,IDN,999.0,999,999,999,2018,34,2,2: Macronutrients,11.2463874372462,Indonesia
SAARC,IND,999.0,999,999,999,2018,34,2,2: Macronutrients,29.1549184330476,India
HIC,IRL,999.0,999,999,999,2018,34,2,2: Macronutrients,12.7088323349837,Ireland
MENA,IRN,999.0,999,999,999,2018,34,2,2: Macronutrients,24.7960600907983,Iran
MENA,IRQ,999.0,999,999,999,2018,34,2,2: Macronutrients,14.9994852130765,Iraq
HIC,ISL,999.0,999,999,999,2018,34,2,2: Macronutrients,14.6783828991816,Iceland
MENA,ISR,999.0,999,999,999,2018,34,2,2: Macronutrients,10.1635364469325,Israel
HIC,ITA,999.0,999,999,999,2018,34,2,2: Macronutrients,18.4200508192963,Italy
LAC,JAM,999.0,999,999,999,2018,34,2,2: Macronutrients,14.6591151533947,Jamaica
MENA,JOR,999.0,999,999,999,2018,34,2,2: Macronutrients,53.6103635337856,Jordan
Asia,JPN,999.0,999,999,999,2018,34,2,2: Macronutrients,12.0569809972098,Japan
FSU,KAZ,999.0,999,999,999,2018,34,2,2: Macronutrients,28.6220171820365,Kazakhstan
SSA,KEN,999.0,999,999,999,2018,34,2,2: Macronutrients,23.3744021662678,Kenya
FSU,KGZ,999.0,999,999,999,2018,34,2,2: Macronutrients,8.41749101971897,Kyrgyzstan
Asia,KHM,999.0,999,999,999,2018,34,2,2: Macronutrients,5.61460299640142,Cambodia
Asia,KIR,999.0,999,999,999,2018,34,2,2: Macronutrients,9.14870623538214,Kiribati
Asia,KOR,999.0,999,999,999,2018,34,2,2: Macronutrients,11.3210954254508,South Korea
MENA,KWT,999.0,999,999,999,2018,34,2,2: Macronutrients,28.2634130202973,Kuwait
Asia,LAO,999.0,999,999,999,2018,34,2,2: Macronutrients,9.362475711505812,Laos
MENA,LBN,999.0,999,999,999,2018,34,2,2: Macronutrients,31.1868331079955,Lebanon
SSA,LBR,999.0,999,999,999,2018,34,2,2: Macronutrients,20.8399867091351,Liberia
MENA,LBY,999.0,999,999,999,2018,34,2,2: Macronutrients,28.884123724844,Libya
LAC,LCA,999.0,999,999,999,2018,34,2,2: Macronutrients,15.6709289454811,Saint Lucia
SAARC,LKA,999.0,999,999,999,2018,34,2,2: Macronutrients,11.4926560154901,Sri Lanka
SSA,LSO,999.0,999,999,999,2018,34,2,2: Macronutrients,40.9330789336889,Lesotho
FSU,LTU,999.0,999,999,999,2018,34,2,2: Macronutrients,17.5216163739141,Lithuania
HIC,LUX,999.0,999,999,999,2018,34,2,2: Macronutrients,38.4045709739115,Luxembourg
FSU,LVA,999.0,999,999,999,2018,34,2,2: Macronutrients,33.1358833554339,Latvia
MENA,MAR,999.0,999,999,999,2018,34,2,2: Macronutrients,43.7714096369943,Morocco
FSU,MDA,999.0,999,999,999,2018,34,2,2: Macronutrients,12.8980140810721,Moldova
SSA,MDG,999.0,999,999,999,2018,34,2,2: Macronutrients,5.51434093847243,Madagascar
SAARC,MDV,999.0,999,999,999,2018,34,2,2: Macronutrients,62.3818998421196,Maldives
LAC,MEX,999.0,999,999,999,2018,34,2,2: Macronutrients,9.698597853687993,Mexico
Asia,MHL,999.0,999,999,999,2018,34,2,2: Macronutrients,12.3584674990536,Marshall Islands
FSU,MKD,999.0,999,999,999,2018,34,2,2: Macronutrients,35.4763887800516,Macedonia
SSA,MLI,999.0,999,999,999,2018,34,2,2: Macronutrients,48.822873483768,Mali
HIC,MLT,999.0,999,999,999,2018,34,2,2: Macronutrients,23.3570229245742,Malta
Asia,MMR,999.0,999,999,999,2018,34,2,2: Macronutrients,18.402977826311,Myanmar
FSU,MNE,999.0,999,999,999,2018,34,2,2: Macronutrients,60.3621627146882,Montenegro
