superregion2,iso3,age,female,urban,edu,year,varnum,v23_type,v23_type_desc,median,upperci_95,lowerci_95
Asia,TWN,999.0,999,999,999,2018,23,2,2: Macronutrients,82.49832658988,101.003856728788,67.8644843156585
SSA,TZA,999.0,999,999,999,2018,23,2,2: Macronutrients,42.9565830260191,50.6405197314026,36.2166144891551
SSA,UGA,999.0,999,999,999,2018,23,2,2: Macronutrients,55.6354310616878,65.5029962414828,46.916277226954
FSU,UKR,999.0,999,999,999,2018,23,2,2: Macronutrients,61.8877039146987,75.9757395043574,51.0873218212833
LAC,URY,999.0,999,999,999,2018,23,2,2: Macronutrients,90.2095422561043,107.24127563416,76.0315913206948
HIC,USA,999.0,999,999,999,2018,23,2,2: Macronutrients,73.5298797619983,74.7917030324546,72.3077548889798
FSU,UZB,999.0,999,999,999,2018,23,2,2: Macronutrients,83.0207535944043,103.385269422151,67.3241955321128
LAC,VCT,999.0,999,999,999,2018,23,2,2: Macronutrients,82.265448040602,95.7180768229188,71.4478026675335
LAC,VEN,999.0,999,999,999,2018,23,2,2: Macronutrients,73.1682968595798,90.9026234662899,59.2865666501869
Asia,VNM,999.0,999,999,999,2018,23,2,2: Macronutrients,75.2297220027493,77.7220888240589,72.7293748201807
Asia,VUT,999.0,999,999,999,2018,23,2,2: Macronutrients,78.8947740682008,92.4862917439069,67.5842104737873
Asia,WSM,999.0,999,999,999,2018,23,2,2: Macronutrients,79.854833514981,93.2467079444318,68.3842898390981
MENA,YEM,999.0,999,999,999,2018,23,2,2: Macronutrients,84.3768022027644,101.441992744535,71.595606744897
SSA,ZAF,999.0,999,999,999,2018,23,2,2: Macronutrients,84.2260746868486,97.5733670053031,72.9834669180811
SSA,ZMB,999.0,999,999,999,2018,23,2,2: Macronutrients,58.7494599290262,69.2662082137665,49.9218757226558
SSA,ZWE,999.0,999,999,999,2018,23,2,2: Macronutrients,52.8137765798674,61.9199089289169,44.7096502716717
